teacher,Question,Answer
강레오,"선생님 부분집합의 개수만 있고 특정한 원소를 갖거나 갖지 않는 부분집합의 개수는 왜 않해주시나요? 자세히 설명이 되어있지는 않은 것 같아서 질문드립니다
 ","안녕하세요~조교쌤이에요~
특정한 원소 a, b를 원소로 갖지 않는 부분집합은
집한 A에서 원소 a, b를 제외한 집합 {c, d}의 부분집합과 같습니다.
공집합, {c}, {d}, {c, d}
 "
강레오,이중근호를 어떻게 없애나요? 자세히 설명해 주세요,"안녕하세요~조교쌤이에요~
어떤 문제인지 알려주셔야 답을 정확히 해줄 수 있어요ㅜㅠ
다시 한번 질문부탁드려요~ "
강레오,"질문하기에 앞서 25강 강의명 두 직선의 위치 관계가 점과 직선 사이의 거리 이고 그뒤로 강의명이 한 개씩 밀린듯 합니다.
그리고 문제 167번 선분OP의 길이의 최소 와 최대가 반지름 - 중심에서 원점 까지의 거리, 반지름 + 중심에서 원점 까지의 거리 라고 하셨는데 왜그런지 감이 안옵니다.","안녕하세요~조교쌤이에요~
167번 
  "
강레오,"16강 104번 문제에서 이차항을 소거하고 소거한 식을 한 문자에 대해 정리해 하나의 식에만 대입하셨고 
105번 문제에도   x=- 2y 를 한 식에만 대입하셨는데 
원래 한 식에만 대입해도 되는걸까요? ","안녕하세요~조교쌤이에요~
네~한식에만 대입해도 가능합니다.
선생님께서 설명중에 얘기해주셨어요.
어느식이든 대입해도 된다고 하셨고,
아래의 식이 조금 더 간단해 보여서 아래식에 대입한다고도 하셨네요~ "
강레오,20:51에 유리화 안한 이유가 뭐에요?,"안녕하세요~조교쌤이에요~
우리학생~
어떤책인지 어떤강의의 몇강인지 알려주세요~"
강레오,"20강 관련 질문이 있습니다.
 선생님께서 유제120번 문제에서
세 개의 범위로 나누어서 풀이한다고 하시는데
(i) x<-1",안녕하세요~조교쌤이에요~
강레오,"십의 자리 숫자가 a이고, 일의 자리 숫자가 b인 두자릿수를 표현하면 10a+b잖아요 그런데 그러면 a가 두자릿수 이상일 경우는 생각하지 않는건가요?","안녕하세요~조교쌤이에요~
네~
십의자리의 숫자가 a이고, 일의자리의 숫자가 b일 때, 10a+b가 되지요?
문제의 조건에서 백의자리의 숫자가 있는데 십의자리의 숫자가 a인데, 두자리의 수가 될 수 없으므로
한자리의 숫자가 오게 됩니다."
강레오,"5 번에 차수가 1인 다항식이 일차식의 정의인데 왜 답이 5번은
 안돠는지 궁금합니다
 문자가 두개가 곱해졌지만 차수는 1이니까
 5번도 정답아닌가요? ","안녕하세요~조교쌤이에요~
x곱하기y는
문자의 개수가 2개이므로 일차식이 될 수 없습니다.
문자가 곱해진 개수로 보면 좀 더 이해가 쉬울거에요~ "
강레오,"선생님, 정수도 유리수에 포함되는거죠? ","안녕하세요~조교쌤이에요~
네~분모가 1인 유리수라고 생각하시면 덜 헷갈릴거에요~
유리수는 n/m(n은 정수, m은 0이 아닌 정수)입니다.  "
강레오,선생님 중2여서 고등수학의 차례를 잘 모르는데... 지금 1강부터 끝까지 배우는 것은수학 상에서 배우는 건가요? ,"안녕하세요~조교쌤이에요~
어떤부분을 얘기하시는 건가요???
 "
강레오,"선생님 부분집합의 개수만 있고 특정한 원소를 갖거나 갖지 않는 부분집합의 개수는 왜 않해주시나요? 자세히 설명이 되어있지는 않은 것 같아서 질문드립니다
 ","안녕하세요~조교쌤이에요~
특정한 원소 a, b를 원소로 갖지 않는 부분집합은
집한 A에서 원소 a, b를 제외한 집합 {c, d}의 부분집합과 같습니다.
공집합, {c}, {d}, {c, d}
 "
강레오,이중근호를 어떻게 없애나요? 자세히 설명해 주세요,"안녕하세요~조교쌤이에요~
어떤 문제인지 알려주셔야 답을 정확히 해줄 수 있어요ㅜㅠ
다시 한번 질문부탁드려요~ "
강레오,"질문하기에 앞서 25강 강의명 두 직선의 위치 관계가 점과 직선 사이의 거리 이고 그뒤로 강의명이 한 개씩 밀린듯 합니다.
그리고 문제 167번 선분OP의 길이의 최소 와 최대가 반지름 - 중심에서 원점 까지의 거리, 반지름 + 중심에서 원점 까지의 거리 라고 하셨는데 왜그런지 감이 안옵니다.","안녕하세요~조교쌤이에요~
167번 
  "
강레오,"16강 104번 문제에서 이차항을 소거하고 소거한 식을 한 문자에 대해 정리해 하나의 식에만 대입하셨고 
105번 문제에도   x=- 2y 를 한 식에만 대입하셨는데 
원래 한 식에만 대입해도 되는걸까요? ","안녕하세요~조교쌤이에요~
네~한식에만 대입해도 가능합니다.
선생님께서 설명중에 얘기해주셨어요.
어느식이든 대입해도 된다고 하셨고,
아래의 식이 조금 더 간단해 보여서 아래식에 대입한다고도 하셨네요~ "
강레오,20:51에 유리화 안한 이유가 뭐에요?,"안녕하세요~조교쌤이에요~
우리학생~
어떤책인지 어떤강의의 몇강인지 알려주세요~"
강레오,"14강~23강 교안
14강~23강 교안을 열었는데 14강이랑 22,23강의 교안이 없어요!! 확인해주세요! ",확인해볼게!! 
강레오,"2학기 과정은 안 나오는건가요?
선생님 안녕하세요!
 요즘 강의 정말 잘 듣고있어요! 좋은 강의 감사합니다 :)
 ","2학기 과정 나왔음
이미 촬영은 다 끝났고
런칭됐을거야!
 잘들어준다니 고맙다!"
강레오,"지금 이거 들어도 되나요 ㅠㅠ
중3인데 2학기는 진도나가는중인데 고등학교과정 미리 예습하고싶어서 신청했는데 2학기 과정 다끝내고 들어야하나요??ㅠㅠ
그냥들어도 문제업을까요?? ","3-1은 어느정도 되어있고
3-2는 피타고라스정도만 알면
들을수있을거야!
 화이팅! "
강레오,"수학책에 ' 다음 수 중에서 가장 작은 수와 절댓값이 가장 큰 수의 합을 구하시오' 라는 문제가 있는데 다음 수는 [+3/2] , [-5/3] , [-3/4] , [+9/5] 가 있어요, 여기서 절댓값이 가장 작은건 [-3/4] 이고 가장 큰 건 [+9/5] 라고 계산이 나왔거든요. 이걸 더하면 +21/20 이 나오는데 답이랑 결과가 달라요. 어느 부분이 잘못된거죠?ㅜㅠㅠㅠㅠ ","안녕하세요~조교쌤이에요~
다음 수 중에서 가장 작은 수와 절댓값이 가장 큰 수의 합을 구하시오
앞에서 절댓값이 가장 작은 수가 아닌 가장 작은수로 찾고 있으므로 가장 작은 수는 -5/3입니다~"
강레오,"질문이요 근데 0은 유리수다라고 하면 맞나요??
아니면 정수도 되고 유리수도 되다가 맞나요??
아니면 0은 정수다 라고 유리수를 뺴놓고말하면 그
답을 맞다고 하나요?? ","안녕하세요~조교쌤이에요~
0은 정수이며,
정수는 유리수에 속하므로 0은 정수면서 유리수가 맞습니다.
 유리수란 a/b(b는 0이 아니다)이며"
강레오,"14-23강 첨부파일이 안보이는데요?
강레오 선생님 수업, 이것 저것 잘 듣고 있습니다.
수업 내용이 알차고 은근 재미있어요^^
 이번 수업도 조금씩 잘 듣고 있는데요....","양질의 문항을 제공하기위해
검수중에 있음.
검수해도 오류가 발생하는경우가있긴하지만 ㅠㅠ
 조금만 기둘려주~"
강레오,선생님 중2여서 고등수학의 차례를 잘 모르는데... 지금 1강부터 끝까지 배우는 것은수학 상에서 배우는 건가요? ,"안녕하세요~조교쌤이에요~
어떤부분을 얘기하시는 건가요???
 "
강레오,"선생님 부분집합의 개수만 있고 특정한 원소를 갖거나 갖지 않는 부분집합의 개수는 왜 않해주시나요? 자세히 설명이 되어있지는 않은 것 같아서 질문드립니다
 ","안녕하세요~조교쌤이에요~
특정한 원소 a, b를 원소로 갖지 않는 부분집합은
집한 A에서 원소 a, b를 제외한 집합 {c, d}의 부분집합과 같습니다.
공집합, {c}, {d}, {c, d}
 "
강레오,이중근호를 어떻게 없애나요? 자세히 설명해 주세요,"안녕하세요~조교쌤이에요~
어떤 문제인지 알려주셔야 답을 정확히 해줄 수 있어요ㅜㅠ
다시 한번 질문부탁드려요~ "
강레오,"질문하기에 앞서 25강 강의명 두 직선의 위치 관계가 점과 직선 사이의 거리 이고 그뒤로 강의명이 한 개씩 밀린듯 합니다.
그리고 문제 167번 선분OP의 길이의 최소 와 최대가 반지름 - 중심에서 원점 까지의 거리, 반지름 + 중심에서 원점 까지의 거리 라고 하셨는데 왜그런지 감이 안옵니다.","안녕하세요~조교쌤이에요~
167번 
  "
강레오,"16강 104번 문제에서 이차항을 소거하고 소거한 식을 한 문자에 대해 정리해 하나의 식에만 대입하셨고 
105번 문제에도   x=- 2y 를 한 식에만 대입하셨는데 
원래 한 식에만 대입해도 되는걸까요? ","안녕하세요~조교쌤이에요~
네~한식에만 대입해도 가능합니다.
선생님께서 설명중에 얘기해주셨어요.
어느식이든 대입해도 된다고 하셨고,
아래의 식이 조금 더 간단해 보여서 아래식에 대입한다고도 하셨네요~ "
강레오,20:51에 유리화 안한 이유가 뭐에요?,"안녕하세요~조교쌤이에요~
우리학생~
어떤책인지 어떤강의의 몇강인지 알려주세요~"
강레오,"20강 관련 질문이 있습니다.
 선생님께서 유제120번 문제에서
세 개의 범위로 나누어서 풀이한다고 하시는데
(i) x<-1",안녕하세요~조교쌤이에요~
